"","DEGREE CENTRALITY","BETWEENNESS CENTRALITY","ClOSENESS CENTRALITY","EIGENVECTGOR CENTRALITY"
"1000000374",1,0,9.0261562664135e-08,0.0199196920414309
"1000000375",1,0,9.0261562664135e-08,0.0199196920414309
"1000000376",1,0,9.0261562664135e-08,0.0199196920414309
"1000000377",1,0,9.0261562664135e-08,0.0199196920414309
"1000000378",1,0,9.0261562664135e-08,0.0199196920414309
"1000000379",1,0,9.0261562664135e-08,0.0199196920414309
"1000000380",1,0,9.0261562664135e-08,0.0199196920414309
"1000000381",1,0,9.0261562664135e-08,0.000397267030704144
"1000000382",1,0,9.0261562664135e-08,0.0199196920414309
"1000000383",1,0,9.0261562664135e-08,0.0199196920414309
"1000000384",1,0,9.0261562664135e-08,0.0199196920414309
"1000000385",1,0,9.0261562664135e-08,0.000397424977241918
"1000000386",2,0,9.0261562664135e-08,7.92287065338324e-06
"1000000387",1,0,9.0261562664135e-08,0.0199196920414309
"1000000388",1,0,9.0261562664135e-08,0.0199196920414309
"1000000389",1,0,9.0261562664135e-08,0.0199196920414309
"1000000390",1,0,9.0261562664135e-08,0.0199196920414309
"1000000391",2,0,9.0261562664135e-08,0.000397582798385416
"1000000392",1,0,9.0261562664135e-08,0.0199196920414309
"1000000393",1,0,9.0261562664135e-08,0.0199196920414309
"1000000394",1,0,9.0261562664135e-08,0.0199196920414309
"1000000395",1,0,9.0261562664135e-08,0.0199196920414309
"1000000396",3,0,9.0261562664135e-08,0.0199355126302522
"1000000397",1,0,9.0261562664135e-08,0.0199196920414309
"1000000398",1,0,9.0261562664135e-08,0.0199196920414309
"1000000399",1,0,9.0261562664135e-08,0.0199196920414309
"1000000400",1,0,9.0261562664135e-08,0.0199196920414309
"1000000401",2,0,9.0261562664135e-08,0.0199275991958372
"1000000402",1,0,9.0261562664135e-08,0.0199196920414309
"1000000403",1,0,9.0261562664135e-08,0.000397109334905143
"1000000404",1,0,9.0261562664135e-08,0.0199196920414309
"1000000405",1,0,9.0261562664135e-08,0.000396951639106143
"1000000406",1,0,9.0261562664135e-08,0.0199196920414309
"1000000407",1,0,9.0261562664135e-08,0.0199196920414309
